"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","GENESIS-Tabelle: 12411-0050","","","","","","","","","","","","","","","",""
"2","Population density: Länder, reference date","","","","","","","","","","","","","","","",""
"3","Current updating of population figures","","","","","","","","","","","","","","","",""
"4","Population density (inh./sq km)","","","","","","","","","","","","","","","",""
"5","","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder"
"6","","Baden-Württemberg","Bayern","Berlin","Brandenburg","Bremen","Hamburg","Hessen","Mecklenburg-Vorpommern","Niedersachsen","Nordrhein-Westfalen","Rheinland-Pfalz","Saarland","Sachsen","Sachsen-Anhalt","Schleswig-Holstein","Thüringen"
"7","1995-12-31","289","170","3897","86","1682","2262","285","79","163","525","200","422","248","134","173","155"
"8","1996-12-31","290","171","3883","87","1677","2262","285","78","164","527","202","422","247","133","174","154"
"9","1997-12-31","291","171","3846","87","1667","2257","286","78","165","527","202","421","246","132","175","153"
"10","1998-12-31","292","171","3818","88","1652","2251","286","78","165","527","203","418","244","131","175","152"
"11","1999-12-31","293","172","3799","88","1640","2257","287","77","166","528","203","417","242","130","176","151"
"12","2000-12-31","294","173","3793","88","1633","2271","287","77","166","528","203","416","240","128","177","150"
"13","2001-12-31","297","175","3800","88","1632","2286","288","76","167","530","204","415","238","126","178","149"
"14","2002-12-31","298","176","3804","88","1638","2289","288","75","168","530","204","415","236","125","179","148"
"15","2003-12-31","299","176","3800","87","1640","2296","288","75","168","530","204","413","235","123","179","147"
"16","2004-12-31","300","176","3799","87","1641","2297","289","74","168","530","205","411","233","122","179","146"
"17","2005-12-31","300","177","3807","87","1641","2309","289","74","168","530","204","409","232","121","179","144"
"18","2006-12-31","300","177","3820","86","1642","2323","288","73","168","529","204","406","231","119","179","143"
"19","2007-12-31","301","177","3834","86","1640","2344","288","72","167","528","204","404","229","118","180","142"
"20","2008-12-31","301","177","3849","86","1637","2347","287","72","167","526","203","401","228","116","179","140"
"21","2009-12-31","301","177","3861","85","1637","2349","287","71","166","524","202","398","226","115","179","139"
"22","2010-12-31","301","178","3899","85","1576","2366","287","71","166","523","202","396","225","114","179","138"
"23","2011-12-31","294","176","3730","83","1556","2275","284","69","163","515","201","388","220","111","177","135"
"24","2012-12-31","296","177","3785","83","1562","2296","285","69","163","515","201","387","220","110","178","134"
"25","2013-12-31","297","179","3838","83","1568","2312","286","69","164","515","201","386","220","110","178","134"
"26","2014-12-31","300","180","3891","83","1578","2334","289","69","164","517","202","385","220","109","179","133"
"27","_____","","","","","","","","","","","","","","","",""
"28","From 2011: Results based on the 2011 Census.","","","","","","","","","","","","","","","",""
"29","_____","","","","","","","","","","","","","","","",""
"30","(C)opyright Statistisches Bundesamt, Wiesbaden 2016","","","","","","","","","","","","","","","",""
"31","created: 25.10.2016 - 19:03:24","","","","","","","","","","","","","","","",""
